Image,Class
image10.jpg,Miscellaneous
image100.jpg,Airplane
image1013.jpg,Jacket
image1014.jpg,Miscellaneous
image1018.jpg,Christmas_Tree
image1019.jpg,Miscellaneous
image1021.jpg,Jacket
image1023.jpg,Airplane
image1024.jpg,Miscellaneous
image1029.jpg,Christmas_Tree
image1030.jpg,Airplane
image1031.jpg,Christmas_Tree
image1032.jpg,Miscellaneous
image1034.jpg,Christmas_Tree
image1035.jpg,Jacket
image1040.jpg,Jacket
image1042.jpg,Jacket
image1043.jpg,Miscellaneous
image1045.jpg,Miscellaneous
image1048.jpg,Candle
image1049.jpg,Miscellaneous
image105.jpg,Airplane
image1051.jpg,Candle
image1052.jpg,Airplane
image1055.jpg,Jacket
image1058.jpg,Miscellaneous
image1059.jpg,Miscellaneous
image1061.jpg,Candle
image1062.jpg,Jacket
image1063.jpg,Christmas_Tree
image107.jpg,Airplane
image1073.jpg,Miscellaneous
image1078.jpg,Candle
image108.jpg,Miscellaneous
image1080.jpg,Miscellaneous
image1085.jpg,Christmas_Tree
image1086.jpg,Miscellaneous
image1087.jpg,Miscellaneous
image1093.jpg,Snowman
image1095.jpg,Miscellaneous
image1097.jpg,Jacket
image11.jpg,Airplane
image110.jpg,Miscellaneous
image1100.jpg,Jacket
image1110.jpg,Snowman
image1114.jpg,Candle
image1120.jpg,Miscellaneous
image1121.jpg,Miscellaneous
image1125.jpg,Miscellaneous
image1126.jpg,Miscellaneous
image1127.jpg,Jacket
image1129.jpg,Christmas_Tree
image113.jpg,Miscellaneous
image1130.jpg,Miscellaneous
image1138.jpg,Miscellaneous
image1139.jpg,Miscellaneous
image1140.jpg,Candle
image1142.jpg,Christmas_Tree
image1145.jpg,Snowman
image1147.jpg,Christmas_Tree
image1148.jpg,Miscellaneous
image1150.jpg,Jacket
image1157.jpg,Christmas_Tree
image1160.jpg,Miscellaneous
image1161.jpg,Christmas_Tree
image1167.jpg,Christmas_Tree
image1171.jpg,Candle
image1173.jpg,Miscellaneous
image1175.jpg,Christmas_Tree
image1177.jpg,Airplane
image118.jpg,Airplane
image1180.jpg,Christmas_Tree
image1181.jpg,Airplane
image1182.jpg,Miscellaneous
image1183.jpg,Snowman
image1188.jpg,Miscellaneous
image119.jpg,Miscellaneous
image1193.jpg,Miscellaneous
image12.jpg,Miscellaneous
image1200.jpg,Airplane
image1201.jpg,Christmas_Tree
image1204.jpg,Miscellaneous
image1205.jpg,Jacket
image1218.jpg,Christmas_Tree
image1220.jpg,Airplane
image1221.jpg,Candle
image1222.jpg,Miscellaneous
image1226.jpg,Christmas_Tree
image1228.jpg,Christmas_Tree
image1230.jpg,Snowman
image1231.jpg,Miscellaneous
image1233.jpg,Airplane
image1242.jpg,Airplane
image1245.jpg,Candle
